name,movie,title,summary,country_hint,merged_race_keywords
Leonardo DiCaprio,Titanic,Leonardo DiCaprio,"Leonardo Wilhelm DiCaprio ( ; Italian: [diˈkaːprjo]; born November 11, 1974) is an American actor and film producer. Known for his work in biographical and period films, he is the recipient of numerous accolades, including an Academy Award, a British Academy Film Award, and three Golden Globe Awards. As of 2019, his films have grossed over $7.2 billion worldwide, and he has been placed eight times in annual rankings of the world's highest-paid actors.
Born in Los Angeles, DiCaprio began his career in the late 1980s by appearing in television commercials. He had a recurring role in the sitcom Parenthood (1990–1991), and had his first major film part as author Tobias Wolff in This Boy's Life (1993). He received critical acclaim and his first Academy Award nomination for playing a developmentally disabled boy in What's Eating Gilbert Grape (1993). DiCaprio achieved international stardom with the star-crossed romances Romeo + Juliet (1996) and Titanic (1997). After the latter became the highest-grossing film in the world at the time, he reduced his workload for a few years. In an attempt to shed his image of a romantic hero, DiCaprio sought roles in other genres, including the 2002 crime dramas Catch Me If You Can and Gangs of New York; the latter marked the first of his many successful collaborations with director Martin Scorsese.
DiCaprio continued to gain acclaim for his performances in the biopic The Aviator (2004), the political thriller Blood Diamond (2006), the crime drama The Departed (2006), and the romantic drama Revolutionary Road (2008). He later made environmental documentaries and starred in several high-profile directors' successful projects, including the thrillers Inception and Shutter Island (both 2010); the western Django Unchained (2012); the romantic drama The Great Gatsby (2013); the biopic The Wolf of Wall Street (2013); the survival drama The Revenant (2015), for which he won the Academy Award for Best Actor; the comedy-drama Once Upon a Time in Hollywood (2019); and the crime dramas Killers of the Flower Moon (2023) and One Battle After Another (2025).
DiCaprio is the founder of Appian Way Productions—a production company that has made some of his films and the documentary series Greensburg (2008–2010)—and Leonardo DiCaprio Foundation, a nonprofit organization devoted to promoting environmental awareness. A United Nations Messenger of Peace, he regularly supports charitable causes. In 2005, he was named a Commander of the Order of Arts and Letters for his contributions to the arts, and in 2016, he appeared in Time magazine's 100 most influential people in the world. DiCaprio was voted one of the 50 greatest actors of all time in a 2022 readers' poll by Empire magazine.",American,"['Italian', 'German', 'Russian']"
Kate Winslet,Titanic,Kate Winslet,"Kate Elizabeth Winslet ( ; born 5 October 1975) is an English actress. Primarily known for her roles as headstrong and complicated women in independent films, particularly period dramas, she has received numerous accolades, including an Academy Award, two Primetime Emmy Awards, five BAFTA Awards and five Golden Globe Awards. Time magazine named Winslet one of the 100 most influential people in the world in 2009 and 2021. She was appointed Commander of the Order of the British Empire (CBE) in 2012.
Winslet studied drama at the Redroofs Theatre School. Her first screen appearance, at age fifteen, was in the British television series Dark Season (1991). She made her film debut playing a teenage murderess in Heavenly Creatures (1994), and went on to win a BAFTA Award for playing Marianne Dashwood in Sense and Sensibility (1995). Global stardom followed with her leading role in James Cameron's epic romance Titanic (1997), which was the highest-grossing film at the time. Winslet then eschewed parts in blockbusters in favour of critically acclaimed period pieces, including Quills (2000) and Iris (2001).
The science fiction romance Eternal Sunshine of the Spotless Mind (2004), in which Winslet was cast against type in a contemporary setting, proved to be a turning point in her career, and she gained further recognition for her performances in Finding Neverland (2004), Little Children (2006), The Holiday (2006), Revolutionary Road (2008), and The Reader (2008). For playing a former Nazi camp guard in the last, she won the BAFTA Award and the Academy Award for Best Actress. Winslet's portrayal of Joanna Hoffman in the biopic Steve Jobs (2015) won her another BAFTA Award, and she received two Primetime Emmy Awards for her performances in the HBO miniseries Mildred Pierce (2011) and Mare of Easttown (2021). In 2022, she produced and starred in the single drama ""I Am Ruth"", winning two BAFTA TV Awards, and played a supporting role through motion capture in Cameron's top-grossing science fiction film Avatar: The Way of Water.
For her narration of a short story in the audiobook Listen to the Storyteller (1999), Winslet won a Grammy Award. She performed the song ""What If"" for the soundtrack of her film, Christmas Carol: The Movie (2001). A co-founder of the charity Golden Hat Foundation, which aims to create autism awareness, Winslet has also written a book on the topic. Divorced from film directors Jim Threapleton and Sam Mendes, Winslet has been married to businessman Edward Abel Smith since 2012. She has a child from each marriage, two of whom are the actors Mia Threapleton and Joe Anders.

",English,"['Swedish', 'Irish', 'British']"
Christian Bale,The Dark Knight,Christian Bale,"Christian Charles Philip Bale (born 30 January 1974) is an English actor.  Known for his versatility and physical transformations for his roles, he has been a leading man in films of several genres. His accolades include an Academy Award and two Golden Globe Awards, in addition to four British Academy Film Awards nominations. Forbes magazine ranked him as one of the highest-paid actors in 2014.
Born in Wales to English parents, Bale had his breakthrough role at age 13 in Steven Spielberg's 1987 war film Empire of the Sun. After more than a decade of leading and supporting roles in films, he gained wider recognition for his portrayals of serial killer Patrick Bateman in the black comedy American Psycho (2000) and the title role in the thriller The Machinist (2004). He played superhero Batman in Christopher Nolan's The Dark Knight trilogy (2005–2012), one of the highest-grossing film franchises.
Outside his work as Batman, Bale had starring roles in a range of films, including Nolan's period drama The Prestige (2006), the action film Terminator Salvation (2009), the crime drama Public Enemies (2009), and the epic film Exodus: Gods and Kings (2014). For his portrayal of boxer Dicky Eklund in David O. Russell's biographical film The Fighter (2010), he won the Academy Award for Best Supporting Actor. Further Academy Award nominations came for his work in Russell's black comedy American Hustle (2013) and Adam McKay's biographical satires The Big Short (2015) and Vice (2018). For portraying politician Dick Cheney in the latter, he won a second Golden Globe. Bale has since played Ken Miles in the sports drama Ford v Ferrari (2019) and Gorr the God Butcher in the superhero film Thor: Love and Thunder (2022).

",English,['English']
Heath Ledger,The Dark Knight,Heath Ledger,"Heath Andrew Ledger (4 April 1979 – 22 January 2008) was an Australian actor. After playing roles in Australian television and film productions during the 1990s, he moved to the United States in 1998 to further develop his film career. His work consisted of 20 films in a variety of genres, including 10 Things I Hate About You (1999), The Patriot (2000), A Knight's Tale, Monster's Ball (both 2001), Casanova, Lords of Dogtown, Brokeback Mountain (all 2005), Candy (2006), I'm Not There (2007), The Dark Knight (2008), and The Imaginarium of Doctor Parnassus (2009), the latter two posthumously released. He produced and directed music videos and aspired to be a film director.
For his portrayal of Ennis Del Mar in Ang Lee's Brokeback Mountain, he received nominations for the BAFTA Award, Screen Actors Guild Award, Golden Globe Award and the Academy Award for Best Actor. In 2007, he played a fictional actor, Robbie Clark, one of six characters embodying aspects of Bob Dylan's life and persona in Todd Haynes' I'm Not There.
Ledger was found dead in January 2008 from an accidental overdose of prescription drugs. A few months before his death, he had finished filming his role as the Joker in The Dark Knight; the performance brought him praise and popularity, and numerous posthumous awards, including an Academy Award, a BAFTA Award, a Golden Globe, a SAG Award, and a Critics' Choice Award, all for Best Supporting Actor.",Australian,"['Irish', 'English', 'Scottish']"
Mike Myers,Shrek 2,Mike Myers,"Michael John Myers,  (born May 25, 1963) is a Canadian actor, comedian, and filmmaker. His accolades include seven MTV Movie & TV Awards, a Primetime Emmy Award, and a Screen Actors Guild Award. In 2002, he was awarded a star on the Hollywood Walk of Fame. In 2017, he was named an Officer of the Order of Canada for ""his extensive and acclaimed body of comedic work as an actor, writer, and producer"".
Following a series of appearances on several Canadian television programs, Mike Myers attained recognition during his six seasons as a cast member on the NBC sketch comedy series Saturday Night Live from 1989 to 1995, which won him the Primetime Emmy Award for Outstanding Writing for a Variety Series. He subsequently earned praise and numerous accolades for playing the title roles in the Wayne's World (1992–1993), Austin Powers (1997–2002), and Shrek (2001–present) franchises, the last of which is the second highest-grossing animated film franchise. Myers also played the titular character in the 2003 live-action adaptation of the Dr. Seuss book The Cat in the Hat.
Myers acted sporadically in the 2010s, having supporting roles in Terminal and Bohemian Rhapsody (both 2018). He made his directorial debut with the documentary Supermensch: The Legend of Shep Gordon (2013), which premiered at the Toronto International Film Festival. He created and starred in the 2022 Netflix original series, The Pentaverate, and appeared in David O. Russell's comedy thriller Amsterdam.",Canadian,"['English', 'Scottish']"
Eddie Murphy,Shrek 2,Eddie Murphy,"Edward Regan Murphy (born April 3, 1961) is an American actor, comedian, and singer. He had his breakthrough as a stand-up comic before gaining stardom for his film roles; he is widely recognized as one of the greatest comedians of all time. He has received several accolades including a Golden Globe Award, a Grammy Award, and an  Emmy Award as well as nominations for an Academy Award and a BAFTA Award. He was honored with the Mark Twain Prize for American Humor in 2015 and the Cecil B. DeMille Award in 2023.
Murphy shot to fame on the sketch comedy show Saturday Night Live, for which he was a regular cast member from 1980 to 1984 and broke out as a movie star in the 1980s films 48 Hrs., Trading Places, and Beverly Hills Cop.  He then established himself as a leading man with starring roles in: The Golden Child (1986), Coming to America (1988), Harlem Nights (which he also directed) (1989), Boomerang (1992), The Nutty Professor (1996), Dr. Dolittle (1997), Bowfinger (1999), Daddy Day Care (2003), and Norbit (2007). Murphy both won the Golden Globe for Best Supporting Actor and received a nomination for the Academy Award for Best Supporting Actor for his role in Dreamgirls (2006).
Murphy has worked as a voice actor, including Mushu in Disney's Mulan (1998), Thurgood Stubbs in the sitcom The PJs (1999–2001), and Donkey in the Shrek franchise (2001–present), the latter of which earned him a BAFTA Award for Best Actor in a Supporting Role nomination. Murphy often takes on multiple roles in a single film, such as in Coming to America, Vampire in Brooklyn,  the Nutty Professor films, Bowfinger, The Adventures of Pluto Nash and Norbit.  This is intended as Murphy's tribute to one of his idols, Peter Sellers. Following a string of poorly received films, he had a career resurgence with leading roles in films such as Dolemite Is My Name (2019), Coming 2 America (2021), You People, Candy Cane Lane (both 2023) and Beverly Hills Cop: Axel F (2024).
In 2020, he won his first Primetime Emmy Award for Outstanding Guest Actor in a Comedy Series for hosting Saturday Night Live. Murphy's films have grossed over $3.8 billion ($6.5 billion adjusted for inflation) in the United States and Canada box office, and over $6.7 billion worldwide. In 2015, his films made him the sixth-highest grossing actor in the United States. As a singer, Murphy has released three studio albums, including How Could It Be (1985), So Happy (1989), and Love's Alright (1993). He is also known for his 1985 single ""Party All the Time"", which peaked at number two on the Billboard Hot 100.",American,['African American']
Cameron Diaz,Shrek 2,Cameron Diaz,"Cameron Michelle Diaz (born August 30, 1972) is an American actress. Prolific in both comedy and drama, her films have grossed over $3 billion in the U.S. box-office. Her output of romantic comedies in the late 1990s and early 2000s established her as a prominent sex symbol and one of Hollywood's most bankable stars, and in 2013, Diaz was named the highest-paid actress over 40. She has received various accolades, including nominations for a British Academy Film Award and four Golden Globe Awards.
Born in San Diego, California, Diaz was raised in Long Beach. While still in high school, she signed a modeling contract with Elite Model Management. Diaz made her film debut at age 21 in the comedy The Mask (1994). Following a supporting role in the romantic comedy My Best Friend's Wedding (1997), she starred as the titular character in the Farrelly brothers' comedy There's Something About Mary (1998), which brought her increased fame and her first Golden Globe nomination. Diaz's following two projects—the sports drama Any Given Sunday and Spike Jonze's fantasy film Being John Malkovich (both 1999)—earned her recognition as a dramatic actress.
Diaz received praise for her supporting roles in Cameron Crowe's Vanilla Sky (2001) and Martin Scorsese's Gangs of New York (2002) and had greater commercial success in the action comedy Charlie's Angels (2000) and its 2003 sequel, as well as for voicing Princess Fiona in the Shrek franchise since 2001. Her subsequent films include the comedies In Her Shoes (2005), The Holiday (2006), What Happens in Vegas (2008), Knight and Day (2010), The Green Hornet (2011), and Bad Teacher (2011). After starring in three successful comedies in 2014—The Other Woman, Sex Tape and Annie—Diaz retired from acting to focus on her family, but made a return to the profession with the action comedy Back in Action (2025).
Diaz has also written two health books: The Body Book (2013), a New York Times bestseller, and The Longevity Book (2016). Her personal life has drawn media attention throughout the course of her career, mostly regarding her relationships and fashion choices. In 2015, Diaz married Good Charlotte guitarist Benji Madden; they have two children via surrogate.

",American,"['Spanish', 'Cuban', 'English', 'German']"
Tobey Maguire,Spider-Man,Tobey Maguire,"Tobias Vincent Maguire (born June 27, 1975) is an American actor and film producer. He starred as the title character in Sam Raimi's Spider-Man trilogy (2002–2007), and later reprised the role in Spider-Man: No Way Home (2021).
Maguire was born in Los Angeles and began his career in supporting roles, before gaining international recognition and critical praise for his role as Spider-Man in the 2002 film of the same name. He reprised the role in two sequels, Spider-Man 2 (2004) and Spider-Man 3 (2007). Maguire expanded his career with dramatic roles in Seabiscuit (2003), The Good German (2006), and The Great Gatsby (2013). He received critical acclaim and a Golden Globe Award nomination for Best Actor in a Motion Picture Drama for his role as a PTSD-stricken soldier in the war film Brothers (2009).
Outside of acting, Maguire has also produced several films, including 25th Hour (2002) and Seabiscuit. He later established his own production company, Material Pictures, in 2012 and co-produced Good People (2012), Pawn Sacrifice (2014), and Babylon (2022).

",American,"['Puerto Rican', 'Scottish', 'Austrian', 'Irish', 'English', 'German']"
Shia LaBeouf,Transformers: Revenge of the Fallen,Shia LaBeouf,"Shia Saide LaBeouf (  SHY-ə lə-BUF; born June 11, 1986) is an American actor and filmmaker. He played Louis Stevens in the Disney Channel series Even Stevens, a role for which he received Young Artist Award nominations in 2001 and 2002 and won a Daytime Emmy Award in 2003. He made his film debut in The Christmas Path (1998). In 2004, he made his directorial debut with the short film Let's Love Hate and later directed a short film titled Maniac (2011), starring American rappers Cage and Kid Cudi.
In 2007, LaBeouf starred in the commercially successful films Disturbia and Surf's Up. From 2007 to 2011, LaBeouf starred in the film Transformers and its sequels Transformers: Revenge of the Fallen and Transformers: Dark of the Moon, playing protagonist Sam Witwicky. The three films were commercially successful. In 2008, he played Henry ""Mutt Williams"" Jones III in Indiana Jones and the Kingdom of the Crystal Skull.
His other credits include the films Holes (2003), Constantine (2005), Wall Street: Money Never Sleeps (2010), Lawless (2012), The Company You Keep (2012), Nymphomaniac (2013), Charlie Countryman (2013), Fury (2014), American Honey (2016), Borg vs McEnroe (2017), Honey Boy (2019), The Peanut Butter Falcon (2019), Pieces of a Woman (2020), and Padre Pio (2022).
Since 2014, LaBeouf has pursued a variety of public performance art projects with LaBeouf, Rönkkö & Turner.

",American,"['French', 'Jewish', 'Jewish American']"
Megan Fox,Transformers: Revenge of the Fallen,Megan Fox,"Megan Denise Fox (born May 16, 1986) is an American actress. She made her acting debut in the family film Holiday in the Sun (2001), which was followed by numerous supporting roles in film and television, such as the teen musical comedy Confessions of a Teenage Drama Queen (2004), as well as a starring role in the ABC sitcom Hope & Faith (2004–2006). Her breakout role was as Mikaela Banes in the blockbuster action film Transformers (2007), which she reprised in its sequel Transformers: Revenge of the Fallen (2009).
Fox also portrayed the titular character in the horror comedy Jennifer's Body (2009), starred as April O'Neil in the superhero action film Teenage Mutant Ninja Turtles (2014) and its sequel Teenage Mutant Ninja Turtles: Out of the Shadows (2016), and appeared in the fifth and sixth seasons of the Fox sitcom New Girl (2016–2017).
Described as a sex symbol, Fox has made appearances in numerous magazines such as Maxim, Rolling Stone, and FHM. She has received two Scream Awards and four Teen Choice Awards.

",American,
